SPECIES.CODE,mean,sd,UNDER.BOSQUETE
BUSI,0.17,0.21,FALSE
CRRE,0.16,0.13,FALSE
DEAR,0.34,0.34,FALSE
GUCO,0.11,0.14,FALSE
GYLU,0.09,0.09,FALSE
LOCA,0.37,0.29,FALSE
LYLA,0.32,0.29,FALSE
MAZA,0.12,0.12,FALSE
MEBR,0.35,0.23,FALSE
NECO,0.16,0.15,FALSE
PIPI,0.13,0.16,FALSE
POUN,0.17,0.15,FALSE
SEAD,0.2,0.23,FALSE
SWMA,0.22,0.31,FALSE
VIGA,0.19,0.23,FALSE
XXXX,0.18,0.22,FALSE
