SPECIES.CODE,EQ.CODE,B0,B1,DBH.GROWTH.MEAN,DBH.GROWTH.SD,R2,REFERENCES
SM,1,0.22,0,0.22,0.27,,Negreros-Castillo 2014
LL,1,0.41,0,0.44,0.35,,Negreros2011
MB,1,0.074,0.0043,0.2,0.12,0.13,Mize2007
MZ,1,0.125,0.0017,0.15,0.11,0.03,Mize2007
PU,1,0.062,0.0042,0.11,0.08,0.03,Mize2007
XX,1,0.074,0.0043,0.15,0.15,0.13,Mize2007
