SPECIES,SPECIES.NAME,SPECIES.CODE,CANOPY.COVER,REG.N.HA.MEAN,REG.N.HA.SD
\textit{Brosimum alicastrum},Ramon,BRAL,999,8.946947116,15.50908781
\textit{Brosimum alicastrum},Ramon,BRAL,50,0,0
\textit{Brosimum alicastrum},Ramon,BRAL,60,0,0
\textit{Brosimum alicastrum},Ramon,BRAL,65,12.3015873,26.7861552
\textit{Brosimum alicastrum},Ramon,BRAL,70,10.75917748,14.09326449
\textit{Brosimum alicastrum},Ramon,BRAL,75,14.06523699,17.92355047
\textit{Brosimum alicastrum},Ramon,BRAL,80,19.91253812,14.64944768
\textit{Brosimum alicastrum},Ramon,BRAL,85,14.53703704,17.03452075
\textit{Dendropanax arboreus},Sacchacah,DEAR,999,36.73605255,74.48866481
\textit{Dendropanax arboreus},Sacchacah,DEAR,50,0,0
\textit{Dendropanax arboreus},Sacchacah,DEAR,60,66.66666667,163.2993162
\textit{Dendropanax arboreus},Sacchacah,DEAR,65,82.14285714,98.12008469
\textit{Dendropanax arboreus},Sacchacah,DEAR,70,31.46576118,42.64180662
\textit{Dendropanax arboreus},Sacchacah,DEAR,75,59.64347754,61.23987001
\textit{Dendropanax arboreus},Sacchacah,DEAR,80,30.46925528,26.21156937
\textit{Dendropanax arboreus},Sacchacah,DEAR,85,23.50040258,43.56781599
\textit{Manilkara zapota},Zapote,MAZA,999,111.7145683,109.5581543
\textit{Manilkara zapota},Zapote,MAZA,50,0,0
\textit{Manilkara zapota},Zapote,MAZA,60,13.80952381,21.41269253
\textit{Manilkara zapota},Zapote,MAZA,65,81.10500611,65.72968085
\textit{Manilkara zapota},Zapote,MAZA,70,165.7976567,107.0483543
\textit{Manilkara zapota},Zapote,MAZA,75,200.8751153,51.04815669
\textit{Manilkara zapota},Zapote,MAZA,80,212.2497147,43.07132696
\textit{Manilkara zapota},Zapote,MAZA,85,219.8795297,101.6453214
XX,,XXXX,999,48.97139302,223.1701903
