SPECIES.CODE,EQ.CODE,B0,B1,REFERENCES
SM,2,0.01711,0.000041591,Alder1998
LL,2,0.00842,0.000050894,Alder1998
MB,2,0.00842,0.000050894,Alder1998
MZ,2,0.00842,0.000050894,Alder1998
PU,2,0.00842,0.000050894,Alder1998
Duras,2,0.00842,0.000050894,Alder1998
Blandas,2,0.01247,0.000047554,Alder1998
BE,2,0.03139,0.000038954,Alder1998
CO,2,0.07055,0.000047705,Alder1998
XX,2,0.00842,0.000050894,Alder1998
